name,team,year,salary_aav_usd,war_tminus1,service_years_tminus1,salary_tminus1,team_payroll_tminus1,contract_phase_tminus1,pred_salary,residual
Justin Turner,BOS,2023,9300000.0,2.3,11.0,16000000.0,161081985.0,fa,14500600.349251427,-5200600.349251427
Nolan Arenado,STL,2023,13025000.0,7.2,9.0,23504500.0,146943990.0,fa,16177291.533112567,-3152291.533112567
Myles Straw,CLE,2023,2500000.0,1.5,4.0,3250000.0,64235811.0,arb,4608857.400619661,-2108857.4006196614
Steven Kwan,CLE,2023,1204403.0,4.7,1.0,1330114.0,64235811.0,pre_arb,3077029.2689638142,-1872626.2689638142
J.P. Crawford,SEA,2023,10000000.0,2.2,6.0,10000000.0,100951738.0,fa,11699644.091519825,-1699644.0915198252
Will Smith,LAD,2023,5250000.0,4.3,9.0,4642857.0,240504831.0,fa,6890867.647589033,-1640867.6475890325
Alec Bohm,PHI,2023,748000.0,1.4,3.0,715000.0,176820959.0,arb,2327030.644401069,-1579030.6444010688
Carlos Santana,- - -,2023,2386296.0,0.9,12.0,2175000.0,118264043.0,fa,3813717.528535814,-1427421.528535814
Daulton Varsho,TOR,2023,3050000.0,4.3,3.0,1268573.0,174586771.0,arb,4389957.011821149,-1339957.011821149
Luis Arraez,MIA,2023,6100000.0,2.7,4.0,2125000.0,70505136.0,arb,7083709.707521229,-983709.707521229
MJ Melendez,KCR,2023,726500.0,-0.6,1.0,603822.0,118264043.0,pre_arb,1393848.824027963,-667348.824027963
Nico Hoerner,CHC,2023,2525000.0,4.3,4.0,1261479.0,128641230.0,arb,3022871.096878421,-497871.096878421
Andrew Vaughn,CHW,2023,760000.0,-0.6,2.0,715000.0,168000852.0,pre_arb,1198403.4474892912,-438403.4474892912
Yandy Diaz,TBR,2023,6000000.0,3.9,6.0,2800000.0,118264043.0,fa,6424921.98256603,-424921.98256602976
Christian Walker,ARI,2023,6500000.0,3.9,6.0,2600000.0,75936600.0,fa,6914740.627341281,-414740.6273412807
